order,sweep_id,venue,year,vg_bucket,ruled_by,ruled_on
1,SW0283,NeurIPS,2023,OUT,VG,2026-09-19
2,SW0290,NeurIPS,2024,OUT,VG,2026-09-19
3,SW0321,NeurIPS,2024,OUT,VG,2026-09-19
4,SW0349,NeurIPS,2025,OUT,VG,2026-09-19
5,SW0277,NeurIPS,2023,OUT,VG,2026-09-19
6,SW0091,CPAIOR,2023,OUT,VG,2026-09-19
7,SW0269,NeurIPS,2023,OUT,VG,2026-09-19
8,SW0275,NeurIPS,2023,OUT,VG,2026-09-19
9,SW0150,ICLR,2025,OUT,VG,2026-09-19
10,SW0227,IJOC,2023,OUT,VG,2026-09-19
11,SW0288,NeurIPS,2024,OUT,VG,2026-09-19
12,SW0022,AAAI,2024,OUT,VG,2026-09-19
13,SW0145,ICLR,2025,OUT,VG,2026-09-19
14,SW0361,NeurIPS,2025,OUT,VG,2026-09-19
15,SW0066,AAAI,2026,OUT,VG,2026-09-19
16,SW0305,NeurIPS,2024,OUT,VG,2026-09-19
17,SW0224,IJCAI,2025,OUT,VG,2026-09-19
18,SW0134,ICLR,2024,OUT,VG,2026-09-19
19,SW0202,ICML,2025,OUT,VG,2026-09-19
20,SW0329,NeurIPS,2025,OUT,VG,2026-09-19
21,SW0123,ICLR,2024,OUT,VG,2026-09-19
22,SW0203,ICML,2025,OUT,VG,2026-09-19
23,SW0108,ICLR,2023,OUT,VG,2026-09-19
24,SW0353,NeurIPS,2025,OUT,VG,2026-09-19
25,SW0057,AAAI,2026,OUT,VG,2026-09-19
26,SW0352,NeurIPS,2025,OUT,VG,2026-09-19
27,SW0051,AAAI,2026,OUT,VG,2026-09-19
28,SW0045,AAAI,2025,OUT,VG,2026-09-19
29,SW0105,ICLR,2023,OUT,VG,2026-09-19
30,SW0084,AISTATS,2025,OUT,VG,2026-09-19
31,SW0302,NeurIPS,2024,OUT,VG,2026-09-19
32,SW0127,ICLR,2024,OUT,VG,2026-09-19
33,SW0138,ICLR,2025,OUT,VG,2026-09-19
34,SW0316,NeurIPS,2024,OUT,VG,2026-09-19
35,SW0040,AAAI,2025,OUT,VG,2026-09-19
36,SW0065,AAAI,2026,OUT,VG,2026-09-19
37,SW0120,ICLR,2024,OUT,VG,2026-09-19
38,SW0172,ICML,2023,OUT,VG,2026-09-19
39,SW0270,NeurIPS,2023,OUT,VG,2026-09-19
40,SW0272,NeurIPS,2023,OUT,VG,2026-09-19
41,SW0023,AAAI,2024,OUT,VG,2026-09-19
42,SW0265,NeurIPS,2023,OUT,VG,2026-09-19
43,SW0233,IJOC,2025,OUT,VG,2026-09-19
44,SW0075,AISTATS,2023,OUT,VG,2026-09-19
45,SW0089,AISTATS,2025,OUT,VG,2026-09-19
46,SW0028,AAAI,2024,OUT,VG,2026-09-19
47,SW0346,NeurIPS,2025,OUT,VG,2026-09-19
48,SW0079,AISTATS,2024,OUT,VG,2026-09-19
49,SW0144,ICLR,2025,OUT,VG,2026-09-19
50,SW0205,ICML,2025,OUT,VG,2026-09-19
