tau,deg,rep,n_test,LAP,W,eta,seconds
1,1,1,300,0.0021523033901720834,0.12908050339494173,0.016674116799705832,6.18
1,1,0,300,0.0025283087674014826,0.12789230380760105,0.019769045455659523,6.23
1,4,0,300,0.0029963648581619595,0.1242462526205549,0.024116339889242267,6.24
1,1,2,300,0.0022714256899211693,0.12816631928127534,0.017722485147882504,6.25
1,4,1,300,0.0032325409529897348,0.12344522588915548,0.026186034572874557,5.74
1,4,2,300,0.0030702785921650905,0.12494250195818296,0.024573532177166443,5.73
1,8,0,300,0.0021954424862992983,0.13483725571121255,0.0162821653015646,5.8
1,8,1,300,0.00204848473095523,0.13742159353561664,0.014906570927110578,6.03
1,8,2,300,0.0020591164853962507,0.1357113585037404,0.015172764520955692,5.5
1,16,0,300,0.0011704755210696915,0.18090637020815487,0.006470062495438478,5.61
1,16,1,300,0.0009388971103795885,0.18704452463291954,0.0050196449867869804,5.57
1,16,2,300,0.0010894783951247156,0.18735793451370691,0.005814957332618387,5.55
2,1,0,300,0.007469262959581918,0.1332069454833145,0.05607262393474459,5.24
2,1,1,300,0.008772515089807156,0.13144012294095433,0.06674153137963781,5.2
2,1,2,300,0.007522801207662522,0.1334701971464017,0.056363153486698306,5.24
2,4,0,300,0.009617014050414555,0.12914763264635945,0.07446527554050096,5.24
2,4,1,300,0.010051293137022466,0.13075829045813464,0.07686926084614593,5.6
2,4,2,300,0.01010986158937871,0.12827994465873074,0.07881092883438995,5.59
2,8,0,300,0.0072763909712524055,0.14242263557674562,0.05109013003295717,5.65
2,8,1,300,0.006607176123165109,0.14668852970194862,0.045042213843100094,5.69
2,8,2,300,0.0073794426493649645,0.14432125171659013,0.05113205824916413,5.14
2,16,0,300,0.004639210791740317,0.18639351727228395,0.024889335528570717,5.34
2,16,1,300,0.004605813895492805,0.18356769762708194,0.025090546730337726,5.36
2,16,2,300,0.0046697257675018256,0.18748701568106557,0.024906928890721172,5.35
1,1,1,2000,0.002325387298151474,0.12694340032299972,0.01831830006313576,21.33
1,1,2,2000,0.002166181017456484,0.1267967406599837,0.01708388564391638,21.38
1,1,0,2000,0.0023663232819221003,0.12794875174357562,0.018494305334564663,21.57
1,1,3,2000,0.002355638027690482,0.1273860745455403,0.01849211568921017,21.77
1,1,4,2000,0.0023422935786339694,0.12823961968196432,0.018264976022565285,20.79
1,1,5,2000,0.002188091771953546,0.12703657738217178,0.017224108339844342,20.84
1,1,7,2000,0.0022280632564022074,0.12661066945546012,0.01759775274852337,20.7
